building_code,building_name,floor
3-0,농업생명과학대학 본관,1층
3-0,농업생명과학대학 본관,2층
3-0,농업생명과학대학 본관,3층
3-0,농업생명과학대학 본관,4층
3-1,농업생명과학대학 1호관,1층
3-1,농업생명과학대학 1호관,2층
3-1,농업생명과학대학 1호관,3층
3-1,농업생명과학대학 1호관,4층
3-2,농업생명과학대학 2호관,1층
3-2,농업생명과학대학 2호관,2층
3-2,농업생명과학대학 2호관,3층
3-2,농업생명과학대학 2호관,4층
3-3,농업생명과학대학 3호관,1층
3-3,농업생명과학대학 3호관,2층
3-3,농업생명과학대학 3호관,3층
3-3,농업생명과학대학 3호관,4층
3-4,농업생명과학대학 4호관,전체
,경상대학 · 8-1 경상대학 1호관,1층
,경상대학 · 8-1 경상대학 1호관,2층
,경상대학 · 8-1 경상대학 1호관,3층
,경상대학 · 8-1 경상대학 1호관,4층
,경상대학 · 8-2 경상대학 2호관,1층
,경상대학 · 8-2 경상대학 2호관,2층
,경상대학 · 8-2 경상대학 2호관,3층
,경상대학 · 8-2 경상대학 2호관,4층
,경상대학 · 8-3 경상대학 3호관,1층
,경상대학 · 8-3 경상대학 3호관,2층
,경상대학 · 8-3 경상대학 3호관,3층
,경상대학 · 8-3 경상대학 3호관,4층
,사범대학 · 6-1 사범대학 본관,3층
,사범대학 · 6-1 사범대학 본관,4층
,사범대학 · 6-3 사범대학 과학관,1층
,사범대학 · 6-3 사범대학 과학관,3층
,사범대학 · 4-3 진수당 교육연구동,2층
,사범대학 · 4-3 진수당 교육연구동,3층
,사범대학 · 4-3 진수당 교육연구동,4층
,사범대학 · 4-3 진수당 교육연구동,5층
,사범대학 · 6-4 사범대학 예체능관,전체
,사회과학대학 · 14-3 인문사회관,3층
,사회과학대학 · 1-32 글로벌인재관,2층
,생활과학대학 · 7-1 생활과학대학,1층
,생활과학대학 · 7-1 생활과학대학,2층
,생활과학대학 · 7-1 생활과학대학,3층
,생활과학대학 · 7-1 생활과학대학,4층
,생활과학대학 · 7-1 생활과학대학,5층
,약학대학 · 10-1 약학대학,전체
,예술대학 · 예술대 구관(공식 페이지 표기),2층
,예술대학 · 예술대 신관(공식 페이지 표기),1층
,예술대학 · 예술대 신관(공식 페이지 표기),2층
,예술대학 · 예술대 신관(공식 페이지 표기),3층
,예술대학 · 예술대 신관(공식 페이지 표기),4층
,예술대학 · 13-3 예술대학 미술관·1-6 예지원,전체
,의과대학 · 11-1 의과대학 본관,1층
,의과대학 · 11-2·11-3·11-4·11-5·27-10 관련 시설,전체
,인문대학 · 14-2 인문대학 2호관,2층
,인문대학 · 14-3 인문사회관,3층
,인문대학 · 14-3 인문사회관,4층
,인문대학 · 1-32 글로벌인재관,2층
,인문대학 · 14-1 인문대학 1호관,전체
,자연과학대학 · 15-0 자연과학대학 본관,2층
,자연과학대학 · 15-0 자연과학대학 본관,3층
,자연과학대학 · 15-0 자연과학대학 본관,4층
,자연과학대학 · 15-1 자연과학대학 1호관,2층
,자연과학대학 · 15-2 자연과학대학 2호관,1층
,자연과학대학 · 15-3 자연과학대학 3호관,1층
,자연과학대학 · 15-4 자연과학대학 4호관,1층
,자연과학대학 · 15-4 자연과학대학 4호관,2층
,자연과학대학 · 15-4 자연과학대학 4호관,3층
,자연과학대학 · 15-5 자연과학대학 5호관,2층
,자연과학대학 · 학군단 건물,3층
,치과대학 · 12-1 치과대학 본관,전체
,치과대학 · 12-2 치과대학 2호관(양이재),전체
,AI대학 · 2-5 공과대학 5호관,1층
,AI대학 · 2-7 공과대학 7호관,2층
,공과대학 · 2-1 공과대학 1호관,1층
,공과대학 · 2-1 공과대학 1호관,2층
,공과대학 · 2-1 공과대학 1호관,3층
,공과대학 · 2-2 공과대학 2호관,1층
,공과대학 · 2-2 공과대학 2호관,2층
,공과대학 · 2-2 공과대학 2호관,3층
,공과대학 · 2-2 공과대학 2호관,4층
,공과대학 · 2-3 공과대학 3호관,1층
,공과대학 · 2-3 공과대학 3호관,2층
,공과대학 · 2-3 공과대학 3호관,3층
,공과대학 · 2-3 공과대학 3호관,4층
,공과대학 · 2-4 공과대학 4호관,지하1층
,공과대학 · 2-4 공과대학 4호관,1층
,공과대학 · 2-4 공과대학 4호관,2층
,공과대학 · 2-4 공과대학 4호관,3층
,공과대학 · 2-4 공과대학 4호관,4층
,공과대학 · 2-5 공과대학 5호관,1층
,공과대학 · 2-5 공과대학 5호관,2층
,공과대학 · 2-5 공과대학 5호관,3층
,공과대학 · 2-5 공과대학 5호관,4층
,공과대학 · 2-5 공과대학 5호관,5층
,공과대학 · 2-6 공과대학 6호관,지하1층
,공과대학 · 2-6 공과대학 6호관,1층
,공과대학 · 2-6 공과대학 6호관,2층
,공과대학 · 2-6 공과대학 6호관,3층
,공과대학 · 2-6 공과대학 6호관,4층
,공과대학 · 2-6 공과대학 6호관,5층
,공과대학 · 2-7 공과대학 7호관,지하1층
,공과대학 · 2-7 공과대학 7호관,1층
,공과대학 · 2-7 공과대학 7호관,2층
,공과대학 · 2-7 공과대학 7호관,3층
,공과대학 · 2-7 공과대학 7호관,4층
,공과대학 · 2-7 공과대학 7호관,5층
,공과대학 · 2-7 공과대학 7호관,6층
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),1층
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),2층
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),3층
,공과대학 · 2-8 공과대학 8호관(자동차산학협동관),4층
,공과대학 · 2-9 공과대학 9호관,1층
,공과대학 · 2-9 공과대학 9호관,2층
,공과대학 · 2-9 공과대학 9호관,3층
,공과대학 · 2-9 공과대학 9호관,4층
,공과대학 · 2-9 공과대학 9호관,5층
,공과대학 · 2-9 공과대학 9호관,6층
,공과대학 · 2-9 공과대학 9호관,7층
,공과대학 · 2-9 공과대학 9호관,8층
,공과대학 · 2-9 공과대학 9호관,9층
,공과대학 · 2-20 공과대학 부속공장,1층
,공과대학 · 2-20 공과대학 부속공장,2층
,공과대학 · 2-20 공과대학 부속공장,3층
,공과대학 · 2-21 풍동실험실,전체
,공과대학 · 2-22 무진동실험실,전체
,공과대학 · 2-23 대형풍동센터,전체
,간호대학 · 9-1 간호대학(간호임상센터),1층
,간호대학 · 9-1 간호대학(간호임상센터),2층
,간호대학 · 9-1 간호대학(간호임상센터),3층
,간호대학 · 9-1 간호대학(간호임상센터),4층
,간호대학 · 9-1 간호대학(간호임상센터),5층
,간호대학 · 의학도서관(공유 이용시설),3층
